,0,1,2,3,4,5,6,7,8,9,10,11
177,1518,1241,178,4385,399,2012-Q4,1,A07,A00,U,11,18
178,227,136,45,1262,117,2012-Q4,2,A02,A00,U,11,18
179,641,492,77,2608,202,2012-Q4,2,A07,A00,U,11,18
180,132,106,13,4228,29,2012-Q4,1,A02,A00,U,21,18
181,1150,1085,25,6971,76,2012-Q4,1,A07,A00,U,21,18
182,6,3,,1372,4,2012-Q4,2,A02,A00,U,21,18
183,123,113,3,4019,11,2012-Q4,2,A07,A00,U,21,18
184,81,67,7,2778,14,2012-Q4,1,A02,A00,U,22,18
185,3537,3482,48,8049,71,2012-Q4,1,A07,A00,U,22,18
186,12,10,,965,3,2012-Q4,2,A02,A00,U,22,18
187,970,947,16,5427,29,2012-Q4,2,A07,A00,U,22,18
188,3314,2340,1253,2210,1549,2012-Q4,1,A02,A00,U,23,18
189,15863,12888,2934,6172,4682,2012-Q4,1,A07,A00,U,23,18
190,340,241,137,1270,164,2012-Q4,2,A02,A00,U,23,18
191,2981,2667,331,3279,493,2012-Q4,2,A07,A00,U,23,18
192,58,45,41,1155,24,2010-Q1,1,A02,A00,U,11,54
193,143,130,19,3097,16,2010-Q1,1,A07,A00,U,11,54
194,16,12,10,558,5,2010-Q1,2,A02,A00,U,11,54
195,51,46,17,1658,9,2010-Q1,2,A07,A00,U,11,54
196,597,490,281,4046,177,2010-Q1,1,A02,A00,U,21,54
197,4837,4549,290,6689,348,2010-Q1,1,A07,A00,U,21,54
198,23,19,6,1588,7,2010-Q1,2,A02,A00,U,21,54
199,240,213,15,3965,33,2010-Q1,2,A07,A00,U,21,54
200,56,49,6,2487,7,2010-Q1,1,A02,A00,U,22,54
201,1526,1449,71,6316,133,2010-Q1,1,A07,A00,U,22,54
202,4,4,,1077,,2010-Q1,2,A02,A00,U,22,54
203,288,274,18,3483,24,2010-Q1,2,A07,A00,U,22,54
204,915,725,358,1844,297,2010-Q1,1,A02,A00,U,23,54
205,4260,3747,612,4166,712,2010-Q1,1,A07,A00,U,23,54
206,65,51,29,904,29,2010-Q1,2,A02,A00,U,23,54
207,578,535,58,2655,61,2010-Q1,2,A07,A00,U,23,54
208,78,58,64,1407,47,2010-Q2,1,A02,A00,U,11,54
209,147,127,39,3325,31,2010-Q2,1,A07,A00,U,11,54
210,19,15,20,1055,13,2010-Q2,2,A02,A00,U,11,54
211,60,45,17,1664,22,2010-Q2,2,A07,A00,U,11,54
212,636,490,452,4505,228,2010-Q2,1,A02,A00,U,21,54
213,5057,4773,258,6527,336,2010-Q2,1,A07,A00,U,21,54
214,19,14,17,1205,9,2010-Q2,2,A02,A00,U,21,54
215,233,219,23,3874,19,2010-Q2,2,A07,A00,U,21,54
216,49,46,35,2213,9,2010-Q2,1,A02,A00,U,22,54
217,1544,1236,26,5552,319,2010-Q2,1,A07,A00,U,22,54
218,4,4,7,1167,,2010-Q2,2,A02,A00,U,22,54
219,294,254,10,3078,43,2010-Q2,2,A07,A00,U,22,54
220,1008,755,1188,2299,581,2010-Q2,1,A02,A00,U,23,54
221,4642,4131,1273,4394,904,2010-Q2,1,A07,A00,U,23,54
222,70,57,168,1075,36,2010-Q2,2,A02,A00,U,23,54
223,623,582,105,2706,79,2010-Q2,2,A07,A00,U,23,54
224,84,53,36,1368,41,2010-Q3,1,A02,A00,U,11,54
225,154,142,38,3300,20,2010-Q3,1,A07,A00,U,11,54
226,27,18,15,972,11,2010-Q3,2,A02,A00,U,11,54
227,54,48,16,1619,11,2010-Q3,2,A07,A00,U,11,54
228,787,592,455,4455,311,2010-Q3,1,A02,A00,U,21,54
229,5156,4892,262,6462,306,2010-Q3,1,A07,A00,U,21,54
230,26,17,14,1194,15,2010-Q3,2,A02,A00,U,21,54
231,244,236,17,4215,12,2010-Q3,2,A07,A00,U,21,54
232,65,46,24,2217,24,2010-Q3,1,A02,A00,U,22,54
233,1318,1197,23,6175,126,2010-Q3,1,A07,A00,U,22,54
234,8,4,3,633,6,2010-Q3,2,A02,A00,U,22,54
235,273,261,6,3461,12,2010-Q3,2,A07,A00,U,22,54
236,1481,812,788,2426,972,2010-Q3,1,A02,A00,U,23,54
237,4958,4325,1030,4673,1003,2010-Q3,1,A07,A00,U,23,54
238,193,63,51,1421,156,2010-Q3,2,A02,A00,U,23,54
239,647,593,89,2845,97,2010-Q3,2,A07,A00,U,23,54
240,77,54,19,1293,35,2010-Q4,1,A02,A00,U,11,54
241,174,136,29,3791,58,2010-Q4,1,A07,A00,U,11,54
242,28,15,9,1270,19,2010-Q4,2,A02,A00,U,11,54
243,58,44,11,1888,21,2010-Q4,2,A07,A00,U,11,54
244,836,684,375,4839,241,2010-Q4,1,A02,A00,U,21,54
245,5181,4902,256,7351,365,2010-Q4,1,A07,A00,U,21,54
246,22,18,10,1095,8,2010-Q4,2,A02,A00,U,21,54
247,262,239,26,5259,36,2010-Q4,2,A07,A00,U,21,54
